Invoice Output Date,Distributor Code,Invoice Number,Distributor Reference Number,Number Of Items,Total Amount,
07/10/2019,536C,50558,,1,32600.00,
28/01/2019,536C,44104,,3,38581.28,
06/02/2019,536C,44302,,2,13788.00,
07/02/2019,536C,44339,,4,28425.88,
12/01/2020,555J,52711,,1,51088.00,
25/07/2021,536C,59917,,5,37099.70,
29/07/2021,536C,59968,,2,14006.70,
08/01/2019,536K,43640,,1,16544.40,
09/01/2019,536C,43663,,14,729.08,
27/08/2017,536C,36012,,4,419.38,
27/06/2018,536C,40208,,2,13682.08,
28/11/2015,536C,25877,,8,728.23,
30/06/2016,536C,29482,,7,4098.03,
10/10/2018,522K-MKT,41920,,2,55088.00,
10/10/2018,522K-MKT,41909,,2,0.00,
26/01/2016,536C,26823,,2,162.26,
27/01/2016,536C,26838,,2,823.46,
28/01/2016,536C,26861,,2,65.06,
25/01/2016,536C,26799,,5,199.70,
18/03/2018,536C,38915,,1,16710.40,
08/04/2019,536C,46571,,1,32600.00,
08/04/2019,536C,46573,,2,33160.00,
27/04/2020,536C,54952,,58,9281.30,
27/04/2020,536C-AAQ,54953,,5,1856.95,
27/04/2020,536C-SP,54954,,4,1671.82,
05/08/2018,536C,40814,,10,933.36,
02/02/2016,555J,26925,,4,104000.00,
04/02/2016,536C,26973,,4,3850.52,
08/02/2016,536C,27032,,12,695.02,
22/01/2017,536C,32738,,2,17028.90,
25/01/2017,536C,32796,,7,3810.82,
07/10/2015,536C,25076,,6,372.70,
07/10/2015,536C,25077,,2,17960.00,
15/02/2016,536C,27138,,7,653.15,
10/02/2016,536C,27074,,1,1562.94,
16/02/2016,536C,27173,,2,36712.00,
19/11/2018,536C,42607,,2,16584.00,
19/11/2018,536C,42615,,4,33830.00,
23/08/2017,536C,35959,,3,4425.58,
24/08/2017,536C,35987,,5,328.07,
17/08/2017,536C,35881,,5,1145.15,
04/10/2017,536C,36556,,5,656.08,
11/11/2018,536C,42464,,1,635.91,
18/12/2018,536C,43224,,6,1964.79,
23/11/2017,536C,37316,,7,2447.53,
30/01/2019,536C,44165,,17,1913.78,
03/12/2017,536C,37424,,7,2229.59,
20/11/2018,536C,42646,,3,35277.12,
09/12/2018,536C,42983,,7,3893.91,
07/02/2017,536C,32977,,14,7526.83,
13/02/2017,536C,33080,,6,2069.38,
07/09/2017,536C,36155,,7,671.59,
09/09/2017,536C,36157,,10,465.39,
06/09/2017,536C,36139,,3,249.52,
08/07/2019,536C,48531,,2,29270.64,
07/11/2017,536C,37071,,6,155.80,
08/11/2017,536C,37082,,14,3994.90,
21/06/2020,536C,55883,,74,15902.08,
01/11/2020,536C,57329,,55,15386.89,
17/03/2020,536C,54371,,1,32600.00,
17/03/2020,536C,54372,,2,30694.00,
25/04/2019,536C,47076,,2,65732.00,
18/02/2019,522K-MKT,44681,,1,31600.00,
18/02/2019,522K-MKT,44682,,1,31600.00,
19/02/2019,536C,44732,,5,617.89,
19/02/2019,536C,44734,,2,16710.40,
10/06/2020,536C,55656,,21,4281.75,
27/01/2020,536C,53101,,3,24372.80,
26/05/2019,536C,47732,,4,38530.72,
02/10/2014,536C,19501,,44,2289.16,
08/10/2014,536C,19547,,6,855.94,
06/10/2014,536C,19512,,18,1462.98,
07/10/2014,536C,19529,,3,113.27,
09/10/2014,536C,19564,,5,925.47,
17/11/2014,555J,20149,123,1,124400.00,
07/12/2014,536C,20433,,3,249.00,
19/11/2014,536C,20179,,2,42800.00,
18/11/2014,536C,20163,,16,764.61,
19/11/2014,536C,20180,,4,179.57,
26/11/2014,536C,20293,,8,7310.78,
27/11/2014,536C,20308,,19,4154.82,
04/12/2014,536C,20404,,8,2387.25,
30/11/2014,536C,20335,,27,6450.09,
25/12/2014,536C,20718,,3,1485.61,
27/12/2014,536C,20720,,1,5.59,
22/12/2014,536C,20662,,11,5004.48,
29/12/2014,536C,20771,,1,1113.84,
05/01/2015,536C,20852,,23,1748.00,
06/01/2015,536C,20869,,13,2304.28,
07/01/2015,536C,20884,,7,967.46,
20/04/2021,536C,58907,,3,15724.80,
25/04/2021,536C,58965,,15,4007.87,
31/01/2015,536C,21228,,9,1408.39,
02/02/2015,536C,21271,,13,2860.35,
05/02/2015,536C,21329,,9,819.74,
07/02/2015,536C,21331,,11,4013.59,
03/02/2015,536C,21287,,12,5396.06,
19/08/2020,536C,56614,,2,39860.80,
23/08/2020,536C,56644,,50,8634.46,
20/04/2020,536C,54845,,2,9899.12,
17/10/2019,536C,50812,,1,16300.00,
22/10/2019,536C,50931,,10,3730.74,
12/07/2020,536C,56246,,51,9611.23,
22/07/2020,536C,56350,,33,2149.48,
06/12/2020,536C,57643,,20,11330.64,
27/09/2020,536C,56987,,35,5952.97,
29/09/2020,536C,57014,,23,5206.40,
31/03/2016,555J,27947,,24,117201.10,
31/03/2016,555J,27948,,3,13176.00,
05/04/2016,536C,28017,,2,22952.00,
09/02/2016,536C,27051,,6,117.01,
20/03/2018,536C,38947,,7,506.32,
20/03/2018,536C,38948,KGO DIRECT SHIPMENT INVOICE NO. 12327998,2,25242.00,
22/03/2018,536C,38981,,5,651.38,
13/12/2018,522K-MKT,43108,,1,8503.00,
13/12/2018,522K-MKT,43109,,4,0.00,
13/12/2018,522K-MKT,43110,,10,75380.00,
10/04/2018,536C,39235,,4,313.29,
19/07/2017,536C,35437,,3,29237.36,
18/07/2017,536C,35436,,10,4079.61,
24/07/2017,536C,35524,,12,2997.10,
21/05/2018,536C,39757,,2,16983.12,
10/12/2015,536C,26077,,4,603.91,
23/07/2017,536C,35508,,3,33366.00,
25/07/2017,536C,35543,,7,2744.19,
26/07/2017,536C,35556,,7,668.33,
02/08/2017,536C,35658,,2,377.11,
27/07/2017,536C,35577,,7,2605.85,
03/07/2019,536K,48430,,2,21736.60,
04/07/2019,536C,48463,,1,24976.00,
13/10/2015,536C,25181,,84,15334.91,
14/10/2015,536C,25200,,7,682.11,
05/05/2019,536C,47304,,1,1873.20,
20/11/2014,536C,20199,,10,1289.40,
23/11/2014,536C,20225,,18,1041.96,
14/06/2020,536C,55736,,14,3951.43,
11/04/2019,536C,46698,,1,32600.00,
11/04/2019,536C,46699,,1,32600.00,
11/04/2019,536C,46700,,1,32600.00,
11/04/2019,536C,46701,,1,32600.00,
14/04/2019,536C,46753,,1,32600.00,
05/12/2017,536C,37480,,9,439.31,
24/01/2019,536C,44035,,2,32576.32,
07/01/2019,522K-MKT,43608,,8,55088.00,
07/01/2019,522K-MKT,43609,,7,59521.00,
07/01/2019,522K-MKT,43610,,2,0.00,
10/10/2017,536C,36630,,11,2211.27,
09/01/2020,536C,52706,,17,18592.99,
23/01/2018,536C,38075,,8,5889.79,
23/01/2018,536C,38076,,2,301.74,
23/01/2018,536C,38077,,3,3188.17,
31/03/2020,536C,54651,,2,30694.00,
09/08/2020,536C,56496,,39,14063.61,
13/08/2020,536C,56552,,2,29504.40,
16/08/2020,536C,56573,,5,38410.00,
29/01/2018,536C,38169,,14,2187.12,
27/02/2019,536C,45107,,4,18595.34,
04/02/2019,522K-SP,44237,,1,664.74,
22/01/2015,536C,21108,,6,497.66,
24/01/2015,536C,21110,,4,7158.13,
27/01/2015,536C,21176,,16,1003.45,
28/01/2015,536C,21211,,4,109.27,
29/01/2015,536C,21221,,9,219.05,
26/01/2020,536C,53056,,4,2737.84,
26/01/2020,536C,53077,,1,32600.00,
26/01/2020,536C,53078,,1,32600.00,
26/01/2020,536C,53079,,2,34352.00,
26/01/2020,536C,53080,,1,6520.00,
26/01/2020,536C,53076,,3,32636.00,
19/05/2019,522K-MKT,47566,,8,55088.00,
19/05/2020,536C,55304,,11,1886.65,
31/05/2020,536C,55450,,15,3848.66,
26/01/2015,536C,21161,,13,2798.26,
25/11/2019,536C,51749,,3,37460.00,
25/10/2020,536C,57267,,43,5303.52,
25/11/2014,536C,20261,,21,5316.93,
04/02/2021,522K,58187,,1,23.26,
04/02/2021,530L-MOD,58185,,7,56665.60,
04/02/2021,530L-MOD,58188,,26,306316.43,
07/02/2021,536C,58204,,35,4585.94,
06/11/2019,536C,51321,,6,6282.82,
01/08/2019,536C,49117,,1,24976.00,
01/08/2019,536C,49118,,1,33420.80,
13/11/2014,536C,20093,,13,894.40,
17/11/2014,536C,20146,,16,4761.01,
30/12/2014,536C,20788,,15,3267.75,
13/11/2019,536C,51479,,2,29740.50,
13/11/2019,536C,51480,,2,33314.00,
13/11/2019,536C,51481,,3,35540.80,
14/11/2019,536C,51518,,3,25326.30,
14/05/2020,536C,55223,,25,5654.50,
27/10/2019,522K-MKT,51064,HENSLEY BUCKET SHIPMENTHENSLEY INVOICE REF. 1655001,10,76880.00,
28/10/2019,522K,51084,,1,114.48,
28/10/2019,536C,51093,,8,2030.72,
12/09/2021,536C,60502,,3,40380.00,
16/09/2021,536C,60554,,3,27691.80,
16/09/2021,536C,60555,,2,34200.00,
19/09/2021,536C,60580,,3,44073.40,
12/10/2020,536C,57134,,35,7851.01,
14/07/2021,536C,59863,,1,33997.60,
14/07/2021,536C,59864,,2,25498.20,
29/11/2020,536C,57618,,30,2861.04,
26/08/2020,536C,56671,,2,35928.00,
27/08/2020,536C,56692,,1,11239.20,
31/08/2020,536C,56723,,116,20154.18,
19/07/2020,536C,56322,,44,12678.16,
22/09/2021,536C,60605,,1,26408.80,
31/01/2021,536C,58142,,37,15486.66,
04/07/2021,536C,59734,,14,2025.32,
19/11/2017,536C,37235,,3,27019.02,
21/11/2017,536C,37276,,2,29674.68,
28/04/2016,555J,28418,,1,16744.61,
22/03/2016,536C,27771,,12,10674.48,
10/01/2019,536C,43696,,3,36348.00,
23/03/2016,536C,27797,,5,449.08,
12/07/2018,5242,40428,,1,98094.07,
02/02/2016,536C,26932,,13,2635.45,
01/02/2016,536C,26915,,2,130.88,
07/02/2016,536C,27007,,4,1299.94,
07/08/2017,536C,35724,,15,6658.43,
25/09/2018,536C,41650,,3,706.28,
27/09/2018,536C,41701,,2,12846.56,
14/08/2017,536C,35820,,6,1552.19,
11/12/2017,536C,37561,,7,579.69,
13/02/2019,536C,44519,,3,36596.48,
26/11/2018,536C,42773,,24,1954.36,
04/10/2020,536C,57065,,49,8887.17,
06/10/2020,536C,57090,,2,22110.20,
17/01/2019,536K,43856,,2,22639.60,
17/01/2019,536C,43864,,2,28204.40,
14/12/2016,536C,32133,,1,12488.00,
09/07/2019,536C,48565,,3,31590.60,
29/06/2020,536C,56029,,36,4939.30,
13/09/2017,536C,36254,,9,2234.12,
16/10/2017,536C,36706,,2,13871.60,
16/07/2019,536C,48719,,4,33105.40,
16/07/2019,536C,48720,,1,352.70,
18/10/2020,536C,57209,,58,11608.26,
10/01/2021,536C,57944,,13,2193.19,
10/01/2021,536C,57945,,7,1431.60,
17/01/2021,536C,58010,,46,11691.84,
05/07/2020,536C,56150,,56,3069.10,
11/09/2019,536C,49903,,2,39570.00,
09/05/2019,536C,47387,,3,24903.10,
10/03/2019,536C,45498,,1,32600.00,
12/03/2019,536C,45551,,3,695.70,
17/09/2014,536C,19278,,1,10.85,
17/09/2014,555J,19282,,1,71.83,
17/09/2014,555J,19283,,1,32.34,
17/09/2014,555J,19284,,2,104.17,
16/10/2014,536C,19658,,11,755.69,
20/10/2014,536C,19718,,31,13259.73,
19/10/2014,536C,19684,,20,1307.83,
20/11/2019,522K-MKT,51640,,3,26019.00,
20/11/2019,522K-MKT,51642,,7,60711.00,
05/11/2014,536C,19961,,10,3021.42,
06/11/2014,536C,19986,,8,1533.49,
02/11/2014,536C,19910,,2,50.04,
21/10/2014,536C,19747,,23,4410.77,
22/10/2014,536C,19760,,12,3133.84,
23/10/2014,536C,19788,,4,148.55,
26/10/2014,536C,19810,,11,5107.67,
27/10/2014,536C,19827,,6,2081.02,
28/10/2014,536C,19849,,5,425.50,
29/10/2014,536C,19867,,12,509.14,
10/11/2014,536C,20036,,7,617.77,
09/11/2014,536C,20015,,7,497.87,
09/11/2014,536C,20016,,1,827.70,
11/11/2014,536C,20054,,5,372.73,
17/12/2019,536C,52211,,4,37620.00,
10/05/2021,536C,59112,,1,32600.00,
10/05/2021,536C,59113,,3,35824.30,
15/05/2021,536C,59132,,3,39930.00,
15/05/2021,536C,59133,,3,32148.00,
14/12/2014,536C,20533,,16,3157.21,
11/12/2014,536C,20509,,14,1821.61,
11/12/2014,555J,20510,,1,107.81,
17/12/2014,536C,20595,,4,380.70,
08/01/2015,536C,20900,,9,467.75,
10/01/2015,536C,20902,,1,268.20,
10/01/2015,536C,20903,,8,4329.14,
13/01/2015,536C,20971,,23,6240.98,
14/01/2015,536C,20990,,10,2462.64,
26/05/2020,536C,55380,,21,2103.79,
02/05/2021,522K,59040,,1,473.60,
11/04/2021,536C,58821,,26,5556.44,
14/04/2021,536C,58843,,3,26861.50,
14/04/2021,536C,58851,,5,30644.90,
15/11/2020,536C,57482,,27,3726.60,
24/12/2020,536C,57823,,11,2643.06,
14/01/2021,536C,57990,,1,32600.00,
14/01/2021,536C,57991,,3,13447.50,
17/05/2021,536C,59164,,31,4831.35,
19/05/2021,522K,59188,,2,1351.68,
18/05/2021,536C,59171,,1,24976.00,
20/05/2021,536C,59207,,2,9730.80,
18/01/2021,536C,58023,,1,0.00,
13/01/2021,536C,57980,,1,32600.00,
24/01/2021,536C,58071,,19,4038.88,
22/11/2020,536C,57550,,26,3589.74,
13/12/2020,536C,57713,,73,10574.17,
20/12/2020,536C,57779,,18,3564.54,
20/12/2020,536C,57778,,1,13.37,
14/07/2021,536C,59865,,2,29244.30,
14/07/2021,536C,59866,,1,33997.60,
14/07/2021,536C,59867,,5,37711.60,
14/07/2021,536C,59868,,1,26408.80,
08/08/2021,536C,60096,,32,7232.51,
09/08/2021,536C,60114,,4,39347.60,
15/08/2021,536C,60164,,3,26412.90,
15/08/2021,536C,60167,,4,36216.00,
04/07/2019,536C,48464,,1,33420.80,
12/09/2019,536C,49937,,2,29504.40,
13/12/2017,536C,37605,,2,10095.00,
08/03/2020,536C,54130,,31,5068.47,
25/09/2019,536C,50259,,3,17618.00,
30/01/2018,536C,38190,,2,1676.52,
25/04/2018,536C,39442,,3,30415.20,
26/04/2018,536C,39461,,7,4907.77,
28/08/2019,536C,49617,,1,12488.00,
12/10/2014,536C,19588,,12,3768.24,
14/10/2014,536C,19618,,9,2176.74,
15/10/2014,536C,19637,,4,431.74,
30/05/2019,536C,47796,,2,5458.28,
16/12/2014,536C,20580,,5,1178.27,
15/12/2014,536C,20565,,7,1349.00,
18/12/2014,536C,20615,,2,164.15,
20/12/2014,536C,20616,,5,1095.32,
24/12/2014,536C,20696,,11,6191.42,
29/09/2014,536C,19449,,11,7501.65,
30/09/2014,536C,19460,,6,298.12,
22/09/2014,536C,19350,,44,12936.86,
24/09/2014,536C,19388,,14,2059.83,
25/09/2014,536C,19405,,1,86.09,
16/11/2014,536C,20117,,34,3165.89,
12/11/2014,536C,20073,,11,2711.67,
07/03/2021,536C,58473,,20,3564.05,
01/12/2014,536C,20365,,3,37463.60,
03/12/2014,536C,20376,,13,1764.20,
01/12/2014,536C,20362,,5,263.52,
08/12/2014,536C,20452,,11,469.42,
10/12/2014,536C,20486,,4,422.11,
09/12/2014,536C,20467,,10,426.72,
15/01/2015,536C,21006,,4,555.07,
17/01/2015,536C,21007,,8,1266.77,
19/01/2015,536C,21054,,10,3325.09,
20/01/2015,536C,21061,,11,778.06,
21/01/2015,536C,21096,,8,829.27,
08/11/2020,536C,57415,,60,8381.66,
12/09/2021,536C,60499,,77,9975.54,
06/09/2020,536C,56778,,28,7995.50,
13/09/2020,536C,56856,,37,10787.15,
10/09/2020,536C,56828,,3,28554.00,
20/09/2020,536C,56913,,21,2644.66,
17/03/2021,536C,58576,,2,27282.00,
18/03/2021,522K,58584,,2,605.99,
21/03/2021,536C,58611,,37,5159.67,
24/03/2021,536C,58633,,4,34758.20,
14/03/2021,536C,58535,,34,3431.66,
21/02/2021,536C,58351,,25,10438.73,
25/02/2021,536C,58389,,2,14492.40,
28/03/2021,536C,58681,,16,3741.25,
15/06/2021,522K,59531,,8,59536.00,
15/06/2021,522K,59536,,1,0.00,
10/02/2021,536C,58247,,1,32600.00,
10/02/2021,536C,58248,,1,32600.00,
10/02/2021,522K,58244,,1,365.76,
11/02/2021,536C,58257,,1,32600.00,
11/02/2021,536C,58258,,2,31075.20,
11/02/2021,536C,58259,,3,30141.30,
18/02/2021,536C,58329,,4,36700.20,
